Index,HourType,LongAcc,LatAcc,Speed
599,Rush Hour,0.074413863,0,28.42
600,Rush Hour,0.079510703,0,28.54
601,Rush Hour,0.079510703,0,28.54
602,Rush Hour,0.079510703,0,29
603,Rush Hour,0.094801223,0,29.12
604,Rush Hour,0.094801223,0,29.12
605,Rush Hour,0.084607543,0,29.12
606,Rush Hour,0.084607543,0,29.12
607,Rush Hour,0.084607543,0,29.24
608,Rush Hour,0.084607543,0,29.24
609,Rush Hour,0.085626911,0,29.32
610,Rush Hour,0.082568807,0,29.4
611,Rush Hour,0.082568807,0,29.4
612,Rush Hour,0.03058104,0,28.74
613,Rush Hour,0.03567788,0,28.74
614,Rush Hour,0.03058104,0,28.74
615,Rush Hour,0.03567788,0,28.74
616,Rush Hour,0.042813456,0,28.86
617,Rush Hour,0.04077472,0,28.86
618,Rush Hour,0.047910296,0,29.04
619,Rush Hour,0.066258919,0,29.14
620,Rush Hour,0.044852192,0,29.04
621,Rush Hour,0.042813456,0,29.12
622,Rush Hour,0.049949032,0,29.22
623,Rush Hour,0.058103976,0,29.32
624,Rush Hour,0.042813456,0,29.24
625,Rush Hour,0.042813456,0,29.32
626,Rush Hour,0.048929664,0,29.4
627,Rush Hour,0.042813456,0,29.32
628,Rush Hour,0.058103976,0,29.5
629,Rush Hour,0.048929664,0,29.4
630,Rush Hour,0.047910296,0,29.48
631,Rush Hour,0.058103976,0,29.5
632,Rush Hour,0.049949032,0,29.56
633,Rush Hour,0.047910296,0,29.48
634,Rush Hour,0.049949032,0,29.56
635,Rush Hour,0.034658512,0,25.26
636,Rush Hour,0.034658512,0,25.26
637,Rush Hour,0.03058104,0,25.3
638,Rush Hour,0.03058104,0,25.3
639,Rush Hour,0.036697248,0,25.42
640,Rush Hour,0.036697248,0,25.42
641,Rush Hour,0.028542304,0,25.4
642,Rush Hour,0.036697248,0,25.54
643,Rush Hour,0.036697248,0,25.54
644,Rush Hour,0.027522936,0,25.6
645,Rush Hour,0.027522936,0,25.6
646,Rush Hour,0.0254842,0,25.6
647,Rush Hour,0.032619776,0,25.68
648,Rush Hour,0.032619776,0,25.68
649,Rush Hour,0.032619776,0,25.82
650,Rush Hour,0.03567788,0,25.38
651,Rush Hour,0.023445464,0,25.38
652,Rush Hour,0.023445464,0,25.44
653,Rush Hour,0.023445464,0,25.48
654,Rush Hour,0.023445464,0,25.48
655,Rush Hour,0.029561672,0,25.54
656,Rush Hour,0.022426096,0,25.6
657,Rush Hour,0.022426096,0,25.6
658,Rush Hour,0.023445464,0,25.7
659,Rush Hour,0.023445464,0,25.7
660,Rush Hour,0.04077472,0,27.98
661,Rush Hour,0.047910296,0,28.48
662,Rush Hour,0.046890928,0,28.52
663,Rush Hour,0.051987768,0,28.68
664,Rush Hour,0.055045872,0,29.64
665,Rush Hour,0.055045872,0,29.64
666,Rush Hour,0.047910296,0,29.68
667,Rush Hour,0.060142712,0,29.7
668,Rush Hour,0.046890928,0,29.74
669,Rush Hour,0.047910296,0,29.68
670,Rush Hour,0.0509684,0,29.82
671,Rush Hour,0.046890928,0,29.74
672,Rush Hour,0.05606524,0,29.9
673,Rush Hour,0.05606524,0,29.9
674,Rush Hour,0.038735984,0,29.98
675,Rush Hour,0.038735984,0,29.98
676,Rush Hour,0.049949032,0,30.04
677,Rush Hour,0.048929664,0,30.4
678,Rush Hour,0.027522936,0,25.84
679,Rush Hour,0.027522936,0,25.84
680,Rush Hour,0.027522936,0,25.84
681,Rush Hour,0.017329256,0,25.84
682,Rush Hour,0.031600408,0,26.06
683,Rush Hour,0.031600408,0,26.06
684,Rush Hour,0.048929664,0,26.18
685,Rush Hour,0.048929664,0,26.18
686,Rush Hour,0.048929664,0,26.18
687,Rush Hour,0.04077472,0,26.2
688,Rush Hour,0.04077472,0,26.2
689,Rush Hour,0.03567788,0,26.28
690,Rush Hour,0.036697248,0,26.34
691,Rush Hour,0.032619776,0,26.34
692,Rush Hour,0.032619776,0,26.34
693,Rush Hour,0.03567788,0,26.42
694,Rush Hour,0.03567788,0,26.42
695,Rush Hour,0.032619776,0,25.74
696,Rush Hour,0.032619776,0,25.74
697,Rush Hour,0.02038736,0,25.86
698,Rush Hour,0.02038736,0,25.86
699,Rush Hour,0.023445464,0,25.8
700,Rush Hour,0.023445464,0,25.8
701,Rush Hour,0.011213048,0,25.86
702,Rush Hour,0.014271152,0,25.9
703,Rush Hour,0.014271152,0,25.9
704,Rush Hour,0.019367992,0,25.98
705,Rush Hour,0.019367992,0,26.04
706,Rush Hour,0.048929664,0,28.7
707,Rush Hour,0.042813456,0,28.76
708,Rush Hour,0.042813456,0,28.76
709,Rush Hour,0.034658512,0,28.8
710,Rush Hour,0.034658512,0,28.8
711,Rush Hour,0.03058104,0,28.8
712,Rush Hour,0.03058104,0,28.8
713,Rush Hour,0.034658512,0,28.88
714,Rush Hour,0.032619776,0,28.88
715,Rush Hour,0.027522936,0,28.9
716,Rush Hour,0.022426096,0,28.9
717,Rush Hour,0.021406728,0,28.92
718,Rush Hour,0.02038736,0,28.94
719,Rush Hour,0.04587156,0,30.5
720,Rush Hour,0.043832824,0,30.58
721,Rush Hour,0.048929664,0,30.66
722,Rush Hour,0.054026504,0,30.66
723,Rush Hour,0.047910296,0,30.72
724,Rush Hour,0.047910296,0,30.8
725,Rush Hour,0.047910296,0,30.72
726,Rush Hour,0.051987768,0,30.86
727,Rush Hour,0.051987768,0,30.86
728,Rush Hour,0.039755352,0,30.8
729,Rush Hour,0.042813456,0,30.94
730,Rush Hour,0.037716616,0,30.86
731,Rush Hour,0.042813456,0,30.94
732,Rush Hour,0.047910296,0,31
733,Rush Hour,0.026503568,0,27.54
734,Rush Hour,0.022426096,0,27.58
