Index,HourType,YawRate,Speed,Heading
370,Non Rush Hour,-0.13,29.14,91.8125
371,Non Rush Hour,-0.07,29.2,91.8375
372,Non Rush Hour,0,29.18,91.825
373,Non Rush Hour,0.01,29.24,91.7875
374,Non Rush Hour,0.01,29.24,91.7875
375,Non Rush Hour,-0.05,29.28,91.7375
376,Non Rush Hour,-0.16,29.34,91.6875
377,Non Rush Hour,-0.29,29.34,91.675
378,Non Rush Hour,-0.29,29.34,91.675
379,Non Rush Hour,-0.29,29.34,91.675
380,Non Rush Hour,-0.29,29.38,91.6125
381,Non Rush Hour,-0.38,29.44,91.6
382,Non Rush Hour,-0.38,29.44,91.6
383,Non Rush Hour,-0.37,29.5,91.6375
384,Non Rush Hour,-0.37,29.46,91.5
385,Non Rush Hour,-0.37,29.5,91.5
386,Non Rush Hour,0.26,26.4,91.5125
387,Non Rush Hour,0.11,26.52,91.675
388,Non Rush Hour,0.27,26.58,91.75
389,Non Rush Hour,0.44,26.54,91.6375
390,Non Rush Hour,0.23,26.6,91.7375
391,Non Rush Hour,0.27,26.66,91.8375
392,Non Rush Hour,0.42,26.7,91.9125
393,Non Rush Hour,0.56,26.72,91.775
394,Non Rush Hour,0.26,26.78,91.8625
395,Non Rush Hour,0.22,26.82,91.9375
396,Non Rush Hour,0.31,26.86,92.0125
397,Non Rush Hour,0.45,26.86,91.8375
398,Non Rush Hour,0.07,26.9,91.9375
399,Non Rush Hour,0.24,26.96,92.0375
400,Non Rush Hour,0.44,27,92.1125
401,Non Rush Hour,-0.38,26.78,91.05
402,Non Rush Hour,-0.38,26.78,91.05
403,Non Rush Hour,-0.39,26.82,90.9875
404,Non Rush Hour,-0.39,26.82,90.9875
405,Non Rush Hour,-0.44,26.86,90.95
406,Non Rush Hour,-0.44,26.86,90.95
407,Non Rush Hour,-0.45,26.9,90.8875
408,Non Rush Hour,-0.45,26.9,90.8875
409,Non Rush Hour,-0.49,26.82,90.8375
410,Non Rush Hour,-0.49,26.82,90.8375
411,Non Rush Hour,-0.51,26.86,90.8
412,Non Rush Hour,-0.51,26.86,90.8
413,Non Rush Hour,-0.49,26.9,90.775
414,Non Rush Hour,-0.49,26.9,90.775
415,Non Rush Hour,-0.43,26.94,90.8
416,Non Rush Hour,-0.43,26.94,90.8
417,Non Rush Hour,-0.26,26.88,90.9
418,Non Rush Hour,-0.26,26.88,90.9
419,Non Rush Hour,0.05,26.92,90.9625
420,Non Rush Hour,0.05,26.92,90.9625
421,Non Rush Hour,0.31,26.96,91
422,Non Rush Hour,0.31,26.96,91
423,Non Rush Hour,0.75,26.94,91.2125
424,Non Rush Hour,0.72,26.96,91.275
425,Non Rush Hour,0.72,26.96,91.275
426,Non Rush Hour,0.64,26.92,91.325
427,Non Rush Hour,0.35,26.98,91.4125
428,Non Rush Hour,0.28,26.94,91.45
429,Non Rush Hour,0.19,27,91.5875
430,Non Rush Hour,0.26,27.04,91.575
431,Non Rush Hour,0.17,27.04,91.5
432,Non Rush Hour,-0.05,27.04,91.5625
433,Non Rush Hour,-0.05,27.04,91.5625
434,Non Rush Hour,-0.02,27.06,91.5
435,Non Rush Hour,-0.12,27.1,91.5
436,Non Rush Hour,-0.15,27.08,91.55
437,Non Rush Hour,-0.15,27.08,91.55
438,Non Rush Hour,-0.04,27.12,91.5375
439,Non Rush Hour,-0.03,27.16,91.525
440,Non Rush Hour,-0.03,27.16,91.525
441,Non Rush Hour,-0.02,27.18,91.525
442,Non Rush Hour,0,27.14,91.5375
443,Non Rush Hour,0,27.14,91.5375
444,Rush Hour,0.06,22.48,92.5125
445,Rush Hour,0.06,22.48,92.5125
446,Rush Hour,0.18,22.54,92.5875
447,Rush Hour,0.18,22.54,92.5875
448,Rush Hour,0.33,22.62,92.65
449,Rush Hour,0.33,22.62,92.65
450,Rush Hour,0.04,22.66,92.575
451,Rush Hour,0.08,22.76,92.5125
452,Rush Hour,-0.1,22.84,92.55
453,Rush Hour,-0.1,23.04,92.5375
454,Rush Hour,0.01,23.1,92.5625
455,Rush Hour,-0.16,23.04,92.45
456,Rush Hour,-0.15,23.12,92.475
457,Rush Hour,-0.05,23.2,92.5125
458,Rush Hour,-0.05,23.2,92.5125
459,Rush Hour,0.07,23.26,92.55
460,Rush Hour,0.07,23.26,92.55
461,Rush Hour,-0.12,23.26,92.425
462,Rush Hour,-0.12,23.26,92.425
463,Rush Hour,-0.11,23.32,92.4625
464,Rush Hour,-0.11,23.32,92.4625
465,Rush Hour,0,23.4,92.5
466,Rush Hour,0,23.4,92.5
467,Rush Hour,0.13,23.48,92.55
468,Rush Hour,-0.1,23.42,92.4
469,Rush Hour,-0.1,23.42,92.4
470,Rush Hour,-0.1,23.48,92.45
471,Rush Hour,-0.1,23.48,92.45
472,Rush Hour,0.02,23.56,92.5125
473,Rush Hour,0.02,23.56,92.5125
474,Rush Hour,0.19,23.64,92.5625
475,Rush Hour,0.04,23.6,92.4625
476,Rush Hour,0.05,23.68,92.5125
477,Rush Hour,0.05,23.68,92.5125
478,Rush Hour,0.02,23.82,92.4875
479,Rush Hour,-0.1,24.1,92.5
480,Rush Hour,-0.17,24.16,92.5375
481,Rush Hour,-0.11,24.22,92.5625
482,Rush Hour,0,24.22,92.425
483,Rush Hour,-0.22,24.36,92.4875
484,Rush Hour,7.65,12.28,50.8625
485,Rush Hour,6.62,12.42,51.075
486,Rush Hour,6.57,12.4,52.675
487,Rush Hour,6.6,12.6,55.425
